file,class,method,variable,usage
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,pushCounter,14
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,functionName,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,eleNumberCounter,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,arrayInitOrNot,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,className,31
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,lexer,66
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,expressionReturnType,28
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,ArithmeticExpression/0,className,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,ArithmeticExpression/0,lexer,8
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,ArithmeticExpression/0,expressionReturnType,5
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,doStatementCheck/0,oldToken,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,doStatementCheck/0,className,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,doStatementCheck/0,lexer,4
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,symbolTableVarClear/0,symbolTables,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,returnStatementCheck/0,symbolTables,4
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,returnStatementCheck/0,functionName,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,returnStatementCheck/0,oldToken,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,returnStatementCheck/0,className,6
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,returnStatementCheck/0,lexer,10
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,returnStatementCheck/0,returnType,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,returnStatementCheck/0,expressionReturnType,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionVarDeclarCheck/0,symbolTables,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionVarDeclarCheck/0,Type,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionVarDeclarCheck/0,functionArrayNumOfEle,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionVarDeclarCheck/0,oldToken,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionVarDeclarCheck/0,className,4
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionVarDeclarCheck/0,lexer,18
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionCheck/0,symbolTables,9
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionCheck/0,functionArrayNumOfEle,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionCheck/0,functionName,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionCheck/0,ifCounter,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionCheck/0,oldToken,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionCheck/0,whileCounter,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionCheck/0,className,12
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionCheck/0,lexer,30
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionCheck/0,Type,5
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionCheck/0,methodOrNot,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionCheck/0,constructorOrNot,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionCheck/0,returnType,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionCheck/0,classFieldVar,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,term/0,className,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,term/0,lexer,8
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,term/0,expressionReturnType,5
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,ClassesFunctionsReference/0,Type,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,ClassesFunctionsReference/0,otherClassType,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,ClassesFunctionsReference/0,className,4
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,Parser/1[Lexer],symbolTables,5
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,Parser/1[Lexer],jackClasses,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,Parser/1[Lexer],textContent,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,Parser/1[Lexer],lexer,5
