file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,term/0,false,1511,2,6,1,5,10,6,23,0,1,0,6,3,6,1,0,0,2,16,0,2,2,2,0,0,0,18,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,ClassesFunctionsReference/0,false,215,2,9,1,8,9,9,27,0,2,0,9,2,3,2,0,0,2,6,1,5,4,4,0,0,0,19,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,Parser/1[Lexer],true,49,4,6,1,5,1,3,12,0,0,1,3,1,21,0,0,0,0,0,5,8,0,0,0,0,0,12,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classStaticDeclarCheck/1[java.lang.String],false,575,3,11,1,10,18,17,70,0,4,1,17,2,1,2,0,1,0,31,4,11,9,7,0,0,0,31,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,subroutineCallCheck/0,false,1143,5,13,1,12,56,20,183,0,10,0,20,4,7,3,0,0,15,109,55,39,41,7,0,0,0,52,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,vmCodeInput/1[java.lang.String],false,74,1,13,12,1,2,6,13,0,3,1,6,0,0,0,0,1,0,1,0,3,1,1,0,0,0,16,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,ifStatementCheck/0,false,929,3,14,3,11,26,14,127,0,4,0,14,8,13,2,0,2,0,45,2,13,15,4,0,0,0,34,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,expression/0,false,1406,2,11,6,5,11,6,19,0,2,0,6,3,6,1,0,0,3,12,0,3,1,2,0,0,0,22,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,relationalExpression/0,false,1432,2,6,1,5,10,11,34,0,2,0,11,3,6,1,0,0,1,17,0,5,4,3,0,0,0,26,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classFunctionsCheck/1[java.lang.String],false,248,4,12,1,11,42,18,185,0,14,1,18,2,1,5,2,0,1,73,13,23,23,7,0,0,0,42,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,whileStatementCheck/0,false,1059,3,15,3,12,14,14,70,0,2,0,14,9,13,1,0,1,0,28,1,4,9,3,0,0,0,28,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,vmFileCreate/0,false,62,1,2,1,1,3,4,11,0,0,0,4,0,0,0,0,1,0,1,0,1,1,2,0,0,0,7,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,factor/0,false,1547,2,6,1,5,7,6,20,0,1,0,6,3,6,0,0,0,0,13,0,2,2,2,0,0,0,16,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,localFileCheck/1[java.lang.String],false,92,1,2,1,1,5,6,18,2,2,1,6,0,0,1,0,1,0,1,0,3,0,4,0,0,0,12,2,0,false
